No,DISEÑADOR,NOMBRE DE LA FRAGANCIA
1,ABERCOMBRIE &FITCH,FIRST
2,ABERCOMBRIE &FITCH,FIRCE INSTINT BLUE
3,ALFRED OUNHILL,DESEO
4,ANIMAL,ANIMAL
5,ANIMAL,ANIMAL BLACK
6,ANIMAL,ANIMAL SEDUCTOR
7,ARAMIS,ARAMIS
8,ARMANI,AQUA DI GIO
9,ARMANI,ARMANI BLACK CODE
10,ARMANI,CODE SPORT
11,ARMANI,YOU
12,ARMANI,AQUA DI GIO PROFUNDO
13,ARMANI,STRONGER WITH YOU
14,ARMANI,AQUA DI GIO ABSOLUT
15,ARMANI,AQUA DI GIO PROFUMO
16,AZZARO,AZZARO
17,AZZARO,CROMO
18,AZZARO,AQUAMAN
19,BENETTON,COLORS
20,BENETTON,COLORS MEN BLACK
21,BURBERRY,BURBERRY HERO
22,BURBERRY,BRIT
23,BURBERRY,BRIT FOR HER
24,BVLGARI,MAN WOOD ESSENCE
25,BVLGARI,B V L
26,BVLGARI,BVLGARI
27,BVLGARI,MAN ESCENTIAL
28,BVLGARI,MAN TERRAE ESENCE
29,CACHAREL,AMOR AMOR
30,CALVIN KLEIN,CK ONE
31,CALVIN KLEIN,CK ONE PLATINIUM EDITION
32,CALVIN KLEIN,CK ONE EVERY ONE
33,CALVIN KLEIN,ETERNITY
34,CALVIN KLEIN,ETERNITY NOW
35,CALVIN KLEIN,ETERNITY INTENSE
36,CALVIN KLEIN,SCAPE
37,CALVIN KLEIN,OBSSESION
38,CALVIN KLEIN,CALVIN
39,CALVIN KLEIN,CK ONE  GOLD
40,CALVIN KLEIN,CK ONE SHOCK FOR HIM
41,CALVIN KLEIN,DEFY
42,CALVIN KLEIN,CK ONE RED
43,CALVIN KLEIN,SCAPE
44,CARLO CORINTO,CARLO CORINTO
45,CAROLINA HERRERA,CH MEN SPORT
46,CAROLINA HERRERA,212 HEROES
47,CAROLINA HERRERA,212 VIP BLACK RED
48,CAROLINA HERRERA,212 VIP WINS
49,CAROLINA HERRERA,BAD BOY SUPER STAR
50,CAROLINA HERRERA,BAD BOY ÑE PERFUME
51,CAROLINA HERRERA,212 MAN
52,CAROLINA HERRERA,212 VIP
53,CAROLINA HERRERA,212 SEXY MAN
54,CAROLINA HERRERA,VIP BLANCK
55,CAROLINA HERRERA,CH BAD BOY
56,CAROLINA HERRERA,212 H2O
57,CAROLINA HERRERA,CAROLINA HERRERA T
58,CAROLINA HERRERA,CH MEN BEST MEMORIES
59,CAROLINA HERRERA,AQUA MEN
60,CARTIER,DECLARATION
61,CARTIER,SANTOS DE CARTIER
62,CARTIER,PASHA
63,CHANEL,PARIS BIARRITZ
64,CHANEL,BLEU EAU DE PERFUM
65,CHANEL,BLEU CHANEL
66,CHANEL,ANTEUZ
