No,DISEÑADOR,NOMBRE DE LA FRAGANCIA
1,DOLCE &GABBANA,EAU DE PARFUM
2,BILLIE ELISH,ELLIS 3
3,KAYALI,OUDGASM VAINILLA
4,KAYALI,OUDGASM ROSE OUD
5,BDK,GRIS CHARNEL EXTRA
6,LATTAFA,KHAMRAH EDP
7,LATTAFA,KHAMRAH
8,TOM FORD,MYRRHE MYSTERE
9,LE LABO,MYRRHE 55
10,HERMES,ESCENSE AMBER
11,MAISON MARTIN,BUBBLE BATH
12,MAISON FRANCIS,AQUA MEDIA COLOGNE
13,MANCERA,VELVET VAINILLA
14,MANCERA,BLACK NOIR
15,TOM FORD,OMBRE LEATHER
16,TOM FORD,LAVANDA 31
17,TOM FORD,TUSCAN LEATHER
18,JO MALONE,RED HIBISIUS
19,HERMES,HERMESENCE AMBAR NARGUILE
20,AQUA DI PARMA,AQUA DI PARMA BLUE MEDITERRANE
21,PHENALIGOS,THE WORL ARTUR
22,MONTALE,CHOCOLATE GRENDY
23,GUERLAIN,TABBACO HONEY
24,GUERLAIN,CHERRY OUD
25,KYLIAN,PRINCESA EAU
26,KYLIAN,VAINILLA CHERRY PATCHULY
27,KAYALI,OUDGASM TABBACO UOD
28,KAYALI,AICAN
29,DIOR,DIORIVERA
30,LATTAFA,KHAMRAH QAHUA
31,LATTAFA,BADE OUD HONOR & GLORY
32,LATTAFA,AL SHUYURI
33,LATTAFA,MAHIR BLACK EDP
34,LATTAFA,BADE OUD FOR GLORY
35,XERJOB,ERBA PURA
36,CALVIN KLEIN,CK ALL
37,LATTAFA,TERIAQ
38,LATTAFA,BADE AL OUD AMESTHYST
39,LATTAFA,SHUYUKH GOLD
40,LATTAFA,NATURAL GOLD
